 |BFS-number |Vertex number |Current queue
----------------------------------------------
 |         1 |            1 |[3, 4]       
 |         2 |            3 |[4, 2, 6, 7, 9]
 |         3 |            4 |[2, 6, 7, 9, 5]
 |         4 |            2 |[6, 7, 9, 5, 8, 10]
 |         5 |            6 |[7, 9, 5, 8, 10]
 |         6 |            7 |[9, 5, 8, 10]
 |         7 |            9 |[5, 8, 10]   
 |         8 |            5 |[8, 10]      
 |         9 |            8 |[10]         
 |        10 |           10 |[]           
 |DFS-number |Vertex number |Current stack
----------------------------------------------
 |         1 |            1 |[3, 4]       
 |         2 |            4 |[3, 5, 6, 9] 
 |         3 |            9 |[3, 5, 6, 7, 10]
 |         4 |           10 |[3, 5, 6, 7, 2]
 |         5 |            2 |[3, 5, 6, 7, 8]
 |         6 |            8 |[3, 5, 6, 7] 
 |         7 |            7 |[3, 5, 6]    
 |         8 |            6 |[3, 5]       
 |         9 |            5 |[3]          
 |        10 |            3 |[]           
